ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa04151	PI3K-Akt signaling pathway	139	-0.4166907956021675	-1.4603490833147708	9.480305305988396e-4	0.027661433763388418	0.024404066894621358	1868	tags=56%, list=38%, signal=36%	3680/3675/5578/3563/4602/595/3678/3672/2792/1021/1293/9586/2149/356/8817/1435/29941/5228/54541/23533/5008/2260/7422/3575/2324/3559/894/1287/3815/1278/3643/5291/6696/4908/2690/1026/146850/3674/2335/56034/1441/7039/3918/1902/284/1280/598/2791/2065/3679/5155/5154/4804/5979/4914/1311/94235/2261/102723407/3912/1969/5156/3696/2263/4254/1291/2069/5747/1942/2253/90993/3569/1292/3914/1946/3371/4902/1277
=======
hsa04060	Cytokine-cytokine receptor interaction	108	-0.5141327431271748	-1.7817452319949958	3.9224217837345205e-7	1.0904332558781966e-4	9.33123498025265e-5	1052	tags=45%, list=21%, signal=37%	6352/3554/29949/3604/83729/1441/130399/3586/56300/8794/1233/6368/8784/8600/4804/6357/355/4049/27302/94/7850/3596/3597/8200/1271/3576/1438/6362/7293/6364/64109/7292/6363/959/3569/8792/3976/3553/10148/6346/3557/3552/6369/1437/3624/3593/6376/6367/6361
hsa05202	Transcriptional misregulation in cancer	83	-0.5285037444456241	-1.805721124968672	3.632901431001455e-6	5.049732989092022e-4	4.321240649506994e-4	917	tags=45%, list=19%, signal=37%	10912/3002/942/598/7185/1848/64919/5154/4804/5468/85414/4914/7850/3195/4086/3728/102723407/8091/7704/5327/3576/5328/8013/3398/51513/3206/51804/5747/860/4211/3569/3207/5087/1437/2115/6495/5077
hsa03008	Ribosome biogenesis in eukaryotes	15	0.5648480215237796	2.4108746205449787	2.676629934354762e-4	0.014882062435012477	0.012735123477140554	1479	tags=87%, list=30%, signal=61%	10799/54913/54433/51077/27341/55341/1736/10885/55916/83732/138716/10528/65083
hsa03420	Nucleotide excision repair	11	0.6570840243008029	2.3939454937061124	1.8298172513346237e-4	0.014882062435012477	0.012735123477140554	1299	tags=91%, list=26%, signal=67%	100533467/56655/7507/5441/3978/5111/7508/2074/54107/5983
hsa05146	Amoebiasis	49	-0.5347302027881737	-1.7581765472704587	2.2879268202474285e-4	0.014882062435012477	0.012735123477140554	1346	tags=55%, list=27%, signal=41%	1287/1278/5291/5331/3554/2335/3918/3586/338382/2769/2776/5269/7850/102723407/3912/3576/5332/910/5747/913/87/3569/3914/3553/1437/3593/1277
hsa04061	Viral protein interaction with cytokine and cytokine receptor	39	-0.5457138404434329	-1.7495307149286534	5.401277920299976e-4	0.025025921030723226	0.021415593157680612	789	tags=41%, list=16%, signal=35%	3586/8794/1233/6368/6357/4049/3576/6362/6364/6363/3569/6346/6369/6376/6367/6361
hsa04151	PI3K-Akt signaling pathway	139	-0.4166907956021675	-1.4621413655269206	6.91495045822583e-4	0.027462231819811153	0.023500433136226136	1868	tags=56%, list=38%, signal=36%	3680/3675/5578/3563/4602/595/3678/3672/2792/1021/1293/9586/2149/356/8817/1435/29941/5228/54541/23533/5008/2260/7422/3575/2324/3559/894/1287/3815/1278/3643/5291/6696/4908/2690/1026/146850/3674/2335/56034/1441/7039/3918/1902/284/1280/598/2791/2065/3679/5155/5154/4804/5979/4914/1311/94235/2261/102723407/3912/1969/5156/3696/2263/4254/1291/2069/5747/1942/2253/90993/3569/1292/3914/1946/3371/4902/1277
hsa05143	African trypanosomiasis	21	-0.6136284602822968	-1.7793165574961094	9.840523408148067e-4	0.029233873837113088	0.025016491810630665	789	tags=71%, list=16%, signal=60%	7064/5331/169355/3586/3383/355/8542/2776/7412/102723407/5332/3569/3553/3620/3593
hsa04260	Cardiac muscle contraction	30	-0.5545191039470272	-1.7160169650828598	0.0010515781955796075	0.029233873837113088	0.025016491810630665	1388	tags=60%, list=28%, signal=43%	444/6547/59283/776/481/4625/477/7168/784/55799/27092/4633/482/4624/480/486/7139/7169
hsa04630	JAK-STAT signaling pathway	54	-0.5081775858002103	-1.6863334165042514	9.019986532808756e-4	0.029233873837113088	0.025016491810630665	1413	tags=57%, list=29%, signal=41%	5008/3575/3559/894/5291/9306/6776/2690/1026/29949/316/1441/2273/3586/598/5155/5154/3596/3597/8835/1271/2670/1438/5156/64109/1154/3569/3976/9021/1437/3593
hsa04974	Protein digestion and absorption	35	-0.5586695022301239	-1.7621978752316296	0.001317542507628817	0.033297892465528285	0.02849422073914954	1346	tags=66%, list=27%, signal=48%	1287/1278/8645/1803/6547/1358/481/85301/11136/477/50509/117247/1280/1307/482/480/1291/486/1292/1303/1289/1294/1277
hsa04925	Aldosterone synthesis and secretion	41	-0.5096717590290143	-1.644777875723353	0.0017750360479223755	0.041121668443535035	0.035189311125478684	1279	tags=51%, list=26%, signal=38%	6770/5331/949/776/481/477/3949/805/2776/747/482/816/112/5332/8913/480/3777/90993/57172/815/4881
>>>>>>> 45e2f12458a54f4ddddec8c33e6855043d313064
