ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	gene_biotype	entrezgene_id
ENSG00000008441	NFIX	19	12995475	13098796	protein_coding	4784
ENSG00000008513	ST3GAL1	8	133454848	133571926	protein_coding	6482
ENSG00000008517	IL32	16	3065297	3082192	protein_coding	9235
ENSG00000008853	RHOBTB2	8	22987417	23020509	protein_coding	23221
ENSG00000008869	HEATR5B	2	36968383	37084372	protein_coding	54497
ENSG00000008952	SEC62	3	169966635	169998373	protein_coding	7095
ENSG00000009307	CSDE1	1	114716913	114758676	protein_coding	7812
ENSG00000009780	FAM76A	1	27725961	27763116	protein_coding	199870
ENSG00000009790	TRAF3IP3	1	209756032	209782320	protein_coding	80342
ENSG00000010017	RANBP9	6	13621498	13711835	protein_coding	10048
ENSG00000010030	ETV7	6	36354091	36387800	protein_coding	51513
ENSG00000010165	METTL13	1	171781660	171814023	protein_coding	51603
ENSG00000010278	CD9	12	6199715	6238271	protein_coding	928
ENSG00000010318	PHF7	3	52410660	52423641	protein_coding	51533
ENSG00000010327	STAB1	3	52495338	52524495	protein_coding	23166
ENSG00000010671	BTK	X	101349338	101390796	protein_coding	695
ENSG00000010818	HIVEP2	6	142751469	142956698	protein_coding	3097
ENSG00000010932	FMO1	1	171248471	171285978	protein_coding	2326
ENSG00000011007	ELOA	1	23743448	23762059	protein_coding	6924
ENSG00000011021	CLCN6	1	11806096	11848079	protein_coding	1185
ENSG00000011028	MRC2	17	62627670	62693597	protein_coding	9902
ENSG00000011132	APBA3	19	3750772	3761692	protein_coding	9546
ENSG00000011260	UTP18	17	51260546	51297936	protein_coding	51096
ENSG00000011295	TTC19	17	15999784	16045015	protein_coding	54902
ENSG00000011304	PTBP1	19	797075	812327	protein_coding	5725
ENSG00000011332	DPF1	19	38211006	38229714	protein_coding	8193
ENSG00000011347	SYT7	11	61513714	61581148	protein_coding	9066
ENSG00000011426	ANLN	7	36389821	36453791	protein_coding	54443
ENSG00000011566	MAP4K3	2	39249266	39437301	protein_coding	8491
ENSG00000011590	ZBTB32	19	35704558	35717038	protein_coding	27033
ENSG00000012048	BRCA1	17	43044295	43170245	protein_coding	672
ENSG00000012211	PRICKLE3	X	49174802	49186528	protein_coding	4007
ENSG00000012779	ALOX5	10	45374176	45446119	protein_coding	240
ENSG00000012963	UBR7	14	93207241	93229215	protein_coding	55148
ENSG00000013288	MAN2B2	4	6575189	6623362	protein_coding	23324
ENSG00000013364	MVP	16	29820394	29848039	protein_coding	9961
ENSG00000013374	NUB1	7	151341772	151378449	protein_coding	51667
ENSG00000013503	POLR3B	12	106357748	106510198	protein_coding	55703
ENSG00000013583	HEBP1	12	12974870	13000265	protein_coding	50865
ENSG00000013725	CD6	11	60971680	61020377	protein_coding	923
ENSG00000013810	TACC3	4	1712858	1745171	protein_coding	10460
ENSG00000014123	UFL1	6	96521595	96555276	protein_coding	23376
ENSG00000014914	MTMR11	1	149928651	149936879	protein_coding	10903
ENSG00000015171	ZMYND11	10	130088	254637	protein_coding	10771
ENSG00000015475	BID	22	17734138	17774770	protein_coding	637
ENSG00000015568	RGPD5	2	109792758	109857705	protein_coding	727851
ENSG00000017260	ATP2C1	3	130850595	131016712	protein_coding	27032
ENSG00000018189	RUFY3	4	70704204	70808619	protein_coding	22902
ENSG00000018408	WWTR1	3	149517235	149736714	protein_coding	25937
ENSG00000018699	TTC27	2	32628032	32821051	protein_coding	55622
ENSG00000018869	ZNF582	19	56375846	56393538	protein_coding	147948
ENSG00000019144	PHLDB1	11	118606440	118658031	protein_coding	23187
ENSG00000019485	PRDM11	11	45095806	45235110	protein_coding	56981
ENSG00000020577	SAMD4A	14	54566117	54793315	protein_coding	23034
ENSG00000020633	RUNX3	1	24899511	24965121	protein_coding	864
ENSG00000021300	PLEKHB1	11	73646178	73662819	protein_coding	58473
ENSG00000021574	SPAST	2	32063556	32157637	protein_coding	6683
ENSG00000021762	OSBPL5	11	3087107	3166739	protein_coding	114879
ENSG00000021776	AQR	15	34851782	34969742	protein_coding	9716
ENSG00000022277	RTF2	20	56468585	56519449	protein_coding	51507
ENSG00000023171	GRAMD1B	11	123358428	123627774	protein_coding	57476
ENSG00000023287	RB1CC1	8	52622458	52745843	protein_coding	9821
ENSG00000023572	GLRX2	1	193090866	193106114	protein_coding	51022
ENSG00000023892	DEF6	6	35297818	35321771	protein_coding	50619
ENSG00000023909	GCLM	1	93885199	93909456	protein_coding	2730
ENSG00000024422	EHD2	19	47713422	47743134	protein_coding	30846
ENSG00000024526	DEPDC1	1	68474152	68497221	protein_coding	55635
ENSG00000024862	CCDC28A	6	138773769	138793319	protein_coding	25901
ENSG00000025039	RRAGD	6	89364616	89412273	protein_coding	58528
ENSG00000025293	PHF20	20	35771974	35950370	protein_coding	51230
ENSG00000025708	TYMP	22	50525752	50530032	protein_coding	1890
ENSG00000025770	NCAPH2	22	50508224	50524780	protein_coding	29781
ENSG00000025800	KPNA6	1	32108056	32176563	protein_coding	23633
ENSG00000026025	VIM	10	17228241	17237593	protein_coding	7431
ENSG00000026103	FAS	10	88953813	89029605	protein_coding	355
ENSG00000026297	RNASET2	6	166922113	166957191	protein_coding	8635
ENSG00000026508	CD44	11	35138882	35232402	protein_coding	960
ENSG00000026751	SLAMF7	1	160739057	160754821	protein_coding	57823
ENSG00000027697	IFNGR1	6	137197483	137219449	protein_coding	3459
ENSG00000028277	POU2F2	19	42086110	42196585	protein_coding	5452
ENSG00000029153	BMAL2	12	27332836	27425289	protein_coding	56938
ENSG00000029534	ANK1	8	41653220	41896741	protein_coding	286
ENSG00000030582	GRN	17	44345246	44353106	protein_coding	2896
ENSG00000031003	FAM13B	5	137937960	138051961	protein_coding	51306
ENSG00000031081	ARHGAP31	3	119294383	119420714	protein_coding	57514
ENSG00000033011	ALG1	16	5033702	5087379	protein_coding	56052
ENSG00000033327	GAB2	11	78215293	78418348	protein_coding	9846
ENSG00000033867	SLC4A7	3	27372723	27484420	protein_coding	9497
ENSG00000034533	ASTE1	3	131013875	131027649	protein_coding	28990
ENSG00000034677	RNF19A	8	100257060	100336218	protein_coding	25897
ENSG00000035681	NSMAF	8	58583508	58659853	protein_coding	8439
ENSG00000035720	STAP1	4	67558727	67607337	protein_coding	26228
ENSG00000036054	TBC1D23	3	100260992	100325251	protein_coding	55773
ENSG00000036672	USP2	11	119355215	119381711	protein_coding	9099
ENSG00000037042	TUBG2	17	42659284	42667006	protein_coding	27175
ENSG00000037749	MFAP3	5	154038959	154220478	protein_coding	4238
ENSG00000038427	VCAN	5	83471618	83582303	protein_coding	1462
ENSG00000038532	CLEC16A	16	10944539	11182186	protein_coding	23274
ENSG00000039123	MTREX	5	55307989	55425579	protein_coding	23517
ENSG00000039319	ZFYVE16	5	80408013	80483379	protein_coding	9765
ENSG00000039560	RAI14	5	34656328	34832612	protein_coding	26064
ENSG00000039600	SOX30	5	157625679	157671480	protein_coding	11063
ENSG00000041982	TNC	9	115019575	115118207	protein_coding	3371
ENSG00000042832	TG	8	132866958	133134903	protein_coding	7038
ENSG00000042980	ADAM28	8	24294069	24359014	protein_coding	10863
ENSG00000043143	JADE2	5	134524312	134583230	protein_coding	23338
ENSG00000044090	CUL7	6	43037617	43053943	protein_coding	9820
ENSG00000044446	PHKA2	X	18892298	18984114	protein_coding	5256
ENSG00000044574	HSPA5	9	125234853	125241382	protein_coding	3309
ENSG00000046647	GEMIN8	X	14006726	14029893	protein_coding	54960
ENSG00000047056	WDR37	10	1049538	1160991	protein_coding	22884
ENSG00000047230	CTPS2	X	16587999	16712936	protein_coding	56474
ENSG00000047249	ATP6V1H	8	53715543	53843558	protein_coding	51606
ENSG00000047315	POLR2B	4	56977722	57031158	protein_coding	5431
ENSG00000047365	ARAP2	4	35948221	36244514	protein_coding	116984
ENSG00000047849	MAP4	3	47850690	48089272	protein_coding	4134
ENSG00000048028	USP28	11	113797874	113875572	protein_coding	57646
ENSG00000048052	HDAC9	7	18086949	19002416	protein_coding	9734
ENSG00000048392	RRM2B	8	102204502	102238961	protein_coding	50484
ENSG00000048649	RSF1	11	77660009	77820869	protein_coding	51773
ENSG00000048740	CELF2	10	10798397	11336675	protein_coding	10659
ENSG00000049130	KITLG	12	88492793	88580851	protein_coding	4254
ENSG00000049245	VAMP3	1	7771296	7781432	protein_coding	9341
ENSG00000049249	TNFRSF9	1	7915871	7943165	protein_coding	3604
ENSG00000049323	LTBP1	2	32946953	33399509	protein_coding	4052
ENSG00000049449	RCN1	11	32091074	32105722	protein_coding	5954
ENSG00000049656	CLPTM1L	5	1317752	1345099	protein_coding	81037
ENSG00000049759	NEDD4L	18	58044226	58401540	protein_coding	23327
ENSG00000050344	NFE2L3	7	26152198	26187137	protein_coding	9603
ENSG00000050405	LIMA1	12	50175788	50283520	protein_coding	51474
ENSG00000050426	LETMD1	12	51047962	51060424	protein_coding	25875
ENSG00000051108	HERPUD1	16	56932142	56944864	protein_coding	9709
ENSG00000051180	RAD51	15	40694774	40732340	protein_coding	5888
ENSG00000051382	PIK3CB	3	138652698	138834928	protein_coding	5291
ENSG00000051523	CYBA	16	88643275	88651083	protein_coding	1535
ENSG00000051596	THOC3	5	175917873	176034680	protein_coding	84321
ENSG00000052795	FNIP2	4	158769026	158908050	protein_coding	57600
ENSG00000052802	MSMO1	4	165327667	165343164	protein_coding	6307
ENSG00000053254	FOXN3	14	89124871	89619149	protein_coding	1112
ENSG00000053770	AP5M1	14	57268924	57298742	protein_coding	55745
ENSG00000054219	LY75	2	159803355	159904756	protein_coding	4065
ENSG00000054356	PTPRN	2	219289623	219309648	protein_coding	5798
ENSG00000054598	FOXC1	6	1609915	1613897	protein_coding	2296
ENSG00000054611	TBC1D22A	22	46762617	47175699	protein_coding	25771
ENSG00000054965	FAM168A	11	73400487	73598189	protein_coding	23201
ENSG00000054967	RELT	11	73376399	73397474	protein_coding	84957
ENSG00000055118	KCNH2	7	150944961	150978321	protein_coding	3757
ENSG00000055130	CUL1	7	148697914	148801110	protein_coding	8454
ENSG00000055208	TAB2	6	149218641	149411613	protein_coding	23118
ENSG00000055211	GINM1	6	149566294	149591748	protein_coding	116254
ENSG00000055957	ITIH1	3	52777595	52792068	protein_coding	3697
ENSG00000056558	TRAF1	9	120902393	120929173	protein_coding	7185
ENSG00000056972	TRAF3IP2	6	111555381	111606906	protein_coding	10758
ENSG00000056998	GYG2	X	2828822	2882818	protein_coding	8908
ENSG00000057019	DCBLD2	3	98795941	98901695	protein_coding	131566
ENSG00000057704	TMCC3	12	94567122	94650557	protein_coding	57458
ENSG00000057757	PITHD1	1	23778418	23788232	protein_coding	57095
ENSG00000058091	CDK14	7	90466424	91210590	protein_coding	5218
ENSG00000058404	CAMK2B	7	44210019	44334577	protein_coding	816
ENSG00000058453	CROCC	1	16740273	16972964	protein_coding	9696
ENSG00000058668	ATP2B4	1	203626832	203744081	protein_coding	493
ENSG00000058866	DGKG	3	186105668	186362234	protein_coding	1608
ENSG00000059758	CDK17	12	96278261	96400480	protein_coding	5128
ENSG00000059804	SLC2A3	12	7919230	8019007	protein_coding	6515
ENSG00000059915	PSD	10	102402617	102421539	protein_coding	5662
ENSG00000060762	MPC1	6	166364919	166383013	protein_coding	51660
ENSG00000061676	NCKAP1	2	182909115	183038858	protein_coding	10787
ENSG00000062598	ELMO2	20	46366050	46432985	protein_coding	63916
ENSG00000063127	SLC6A16	19	49289638	49325215	protein_coding	28968
ENSG00000063322	MED29	19	39391303	39400641	protein_coding	55588
ENSG00000063660	GPC1	2	240435663	240468076	protein_coding	2817
ENSG00000064195	DLX3	17	49990005	49995224	protein_coding	1747
ENSG00000064201	TSPAN32	11	2301997	2318204	protein_coding	10077
ENSG00000064300	NGFR	17	49495293	49515008	protein_coding	4804
ENSG00000064393	HIPK2	7	139561570	139777998	protein_coding	28996
ENSG00000064666	CNN2	19	1026586	1039068	protein_coding	1265
ENSG00000064787	BCAS1	20	53936777	54070594	protein_coding	8537
ENSG00000065135	GNAI3	1	109548615	109600195	protein_coding	2773
ENSG00000065150	IPO5	13	97953658	98024296	protein_coding	3843
ENSG00000065320	NTN1	17	9021510	9244000	protein_coding	9423
ENSG00000065328	MCM10	10	13161558	13211110	protein_coding	55388
ENSG00000065357	DGKA	12	55927319	55954027	protein_coding	1606
ENSG00000065361	ERBB3	12	56076799	56103505	protein_coding	2065
ENSG00000065413	ANKRD44	2	196967017	197311173	protein_coding	91526
ENSG00000065485	PDIA5	3	123067025	123225227	protein_coding	10954
ENSG00000065491	TBC1D22B	6	37257772	37332970	protein_coding	55633
ENSG00000065534	MYLK	3	123610049	123884332	protein_coding	4638
ENSG00000065559	MAP2K4	17	12020829	12143830	protein_coding	6416
ENSG00000065665	SEC61A2	10	12129637	12169961	protein_coding	55176
ENSG00000065802	ASB1	2	238426742	238452250	protein_coding	51665
ENSG00000065833	ME1	6	83210402	83431051	protein_coding	4199
ENSG00000065911	MTHFD2	2	74186172	74217565	protein_coding	10797
ENSG00000065923	SLC9A7	X	46599251	46759118	protein_coding	84679
ENSG00000065970	FOXJ2	12	8032716	8055517	protein_coding	55810
ENSG00000065978	YBX1	1	42682418	42703805	protein_coding	4904
ENSG00000065989	PDE4A	19	10416773	10469630	protein_coding	5141
ENSG00000066027	PPP2R5A	1	212285410	212361853	protein_coding	5525
ENSG00000066044	ELAVL1	19	7958573	8005659	protein_coding	1994
ENSG00000066084	DIP2B	12	50504985	50748657	protein_coding	57609
ENSG00000066248	NGEF	2	232878701	233013256	protein_coding	25791
ENSG00000066279	ASPM	1	197084121	197146694	protein_coding	259266
ENSG00000066322	ELOVL1	1	43363398	43368074	protein_coding	64834
ENSG00000066336	SPI1	11	47354860	47409369	protein_coding	6688
ENSG00000066468	FGFR2	10	121478332	121598458	protein_coding	2263
ENSG00000066629	EML1	14	99737693	99942060	protein_coding	2009
ENSG00000066923	STAG3	7	100177563	100214387	protein_coding	10734
ENSG00000067057	PFKP	10	3066333	3137718	protein_coding	5214
ENSG00000067064	IDI1	10	1039152	1049119	protein_coding	3422
ENSG00000067082	KLF6	10	3775996	3785281	protein_coding	1316
ENSG00000067113	PLPP1	5	55424854	55534969	protein_coding	8611
ENSG00000067141	NEO1	15	73051710	73305205	protein_coding	4756
ENSG00000067167	TRAM1	8	70573218	70608416	protein_coding	23471
ENSG00000067177	PHKA1	X	72578814	72714319	protein_coding	5255
ENSG00000067182	TNFRSF1A	12	6328757	6342114	protein_coding	7132
ENSG00000067221	STOML1	15	73978926	73994622	protein_coding	9399
ENSG00000067225	PKM	15	72199029	72231819	protein_coding	5315
ENSG00000067334	DNTTIP2	1	93866284	93879918	protein_coding	30836
ENSG00000067369	TP53BP1	15	43403061	43510728	protein_coding	7158
ENSG00000067533	RRP15	1	218285293	218337983	protein_coding	51018
ENSG00000067596	DHX8	17	43483865	43610338	protein_coding	1659
ENSG00000067798	NAV3	12	77324641	78213010	protein_coding	89795
ENSG00000067829	IDH3G	X	153785766	153794512	protein_coding	3421
ENSG00000067955	CBFB	16	67028984	67101058	protein_coding	865
ENSG00000067992	PDK3	X	24465244	24550466	protein_coding	5165
ENSG00000068078	FGFR3	4	1793293	1808872	protein_coding	2261
ENSG00000068120	COASY	17	42561467	42566277	protein_coding	80347
ENSG00000068137	PLEKHH3	17	42667914	42676994	protein_coding	79990
ENSG00000068366	ACSL4	X	109624244	109733403	protein_coding	2182
ENSG00000068650	ATP11A	13	112690038	112887168	protein_coding	23250
ENSG00000068724	TTC7A	2	46915869	47076137	protein_coding	57217
ENSG00000068831	RASGRP2	11	64726911	64745456	protein_coding	10235
ENSG00000068903	SIRT2	19	38878555	38899862	protein_coding	22933
ENSG00000068971	PPP2R5B	11	64917553	64934475	protein_coding	5526
ENSG00000069011	PITX1	5	135027734	135034813	protein_coding	5307
ENSG00000069188	SDK2	17	73334384	73644445	protein_coding	54549
ENSG00000069849	ATP1B3	3	141876124	141926549	protein_coding	483
ENSG00000069869	NEDD4	15	55826922	55993660	protein_coding	4734
ENSG00000069956	MAPK6	15	51952106	52067375	protein_coding	5597
ENSG00000069966	GNB5	15	52115100	52191392	protein_coding	10681
ENSG00000070018	LRP6	12	12116025	12267044	protein_coding	4040
ENSG00000070159	PTPN3	9	109375466	109498313	protein_coding	5774
ENSG00000070182	SPTB	14	64746283	64879907	protein_coding	6710
ENSG00000070214	SLC44A1	9	105244622	105439171	protein_coding	23446
ENSG00000070366	SMG6	17	2059839	2303785	protein_coding	23293
ENSG00000070501	POLB	8	42338454	42371808	protein_coding	5423
ENSG00000070610	GBA2	9	35736866	35749228	protein_coding	57704
ENSG00000070756	PABPC1	8	100685816	100722809	protein_coding	26986
ENSG00000070770	CSNK2A2	16	58157907	58198106	protein_coding	1459
ENSG00000070808	CAMK2A	5	150219491	150290093	protein_coding	815
ENSG00000070915	SLC12A3	16	56865207	56915850	protein_coding	6559
ENSG00000070961	ATP2B1	12	89588049	89709366	protein_coding	490
ENSG00000071051	NCK2	2	105744912	105894274	protein_coding	8440
ENSG00000071054	MAP4K4	2	101696850	101894690	protein_coding	9448
ENSG00000071205	ARHGAP10	4	147732063	148072776	protein_coding	79658
ENSG00000071243	ING3	7	120950763	120977216	protein_coding	54556
ENSG00000071794	HLTF	3	149030127	149086554	protein_coding	6596
ENSG00000071967	CYBRD1	2	171522247	171558129	protein_coding	79901
ENSG00000072110	ACTN1	14	68874128	68979440	protein_coding	87
ENSG00000072135	PTPN18	2	130356045	130375405	protein_coding	26469
ENSG00000072195	SPEG	2	219434843	219493629	protein_coding	10290
ENSG00000072210	ALDH3A2	17	19648136	19685760	protein_coding	224
ENSG00000072310	SREBF1	17	17810399	17837002	protein_coding	6720
ENSG00000072506	HSD17B10	X	53431258	53434370	protein_coding	3028
ENSG00000072682	P4HA2	5	132190147	132295315	protein_coding	8974
ENSG00000072694	FCGR2B	1	161663143	161678654	protein_coding	2213
ENSG00000072778	ACADVL	17	7217125	7225266	protein_coding	37
ENSG00000072832	CRMP1	4	5748084	5893086	protein_coding	1400
ENSG00000072864	NDE1	16	15643267	15734691	protein_coding	54820
ENSG00000072954	TMEM38A	19	16661139	16690023	protein_coding	79041
ENSG00000073060	SCARB1	12	124776856	124882668	protein_coding	949
ENSG00000073150	PANX2	22	50170731	50180295	protein_coding	56666
ENSG00000073331	ALPK1	4	112285509	112442621	protein_coding	80216
ENSG00000073464	CLCN4	X	10156975	10237660	protein_coding	1183
ENSG00000073536	NLE1	17	35128730	35142304	protein_coding	54475
ENSG00000073584	SMARCE1	17	40624962	40648654	protein_coding	6605
ENSG00000073711	PPP2R3A	3	135965728	136147894	protein_coding	5523
ENSG00000073712	FERMT2	14	52857268	52952435	protein_coding	10979
ENSG00000073792	IGF2BP2	3	185643130	185825042	protein_coding	10644
ENSG00000073803	MAP3K13	3	185282941	185489094	protein_coding	9175
ENSG00000073849	ST6GAL1	3	186930325	187078553	protein_coding	6480
ENSG00000073910	FRY	13	31846713	32299125	protein_coding	10129
ENSG00000073921	PICALM	11	85957175	86069882	protein_coding	8301
ENSG00000073969	NSF	17	46590669	46757679	protein_coding	4905
ENSG00000074054	CLASP1	2	121337776	121649476	protein_coding	23332
ENSG00000074201	CLNS1A	11	77514936	77637794	protein_coding	1207
ENSG00000074266	EED	11	86201212	86278813	protein_coding	8726
ENSG00000074370	ATP2A3	17	3923870	3964464	protein_coding	489
ENSG00000074416	MGLL	3	127689062	128052190	protein_coding	11343
ENSG00000074590	NUAK1	12	106063345	106138954	protein_coding	9891
ENSG00000074660	SCARF1	17	1633858	1645744	protein_coding	8578
ENSG00000074695	LMAN1	18	59327823	59359265	protein_coding	3998
ENSG00000074696	HACD3	15	65530418	65578349	protein_coding	51495
ENSG00000074800	ENO1	1	8861000	8879190	protein_coding	2023
ENSG00000074842	MYDGF	19	4641374	4670362	protein_coding	56005
ENSG00000075142	SRI	7	88205115	88226993	protein_coding	6717
ENSG00000075151	EIF4G3	1	20806292	21177285	protein_coding	8672
ENSG00000075275	CELSR1	22	46360834	46537620	protein_coding	9620
ENSG00000075336	TIMM21	18	74148523	74160531	protein_coding	29090
ENSG00000075420	FNDC3B	3	172039578	172401669	protein_coding	64778
ENSG00000075426	FOSL2	2	28392448	28417317	protein_coding	2355
ENSG00000075618	FSCN1	7	5592816	5606655	protein_coding	6624
ENSG00000075624	ACTB	7	5526409	5563902	protein_coding	60
ENSG00000075891	PAX2	10	100735396	100829944	protein_coding	5076
ENSG00000076108	BAZ2A	12	56595596	56636816	protein_coding	11176
ENSG00000076248	UNG	12	109097597	109126725	protein_coding	7374
ENSG00000076356	PLXNA2	1	208022242	208244384	protein_coding	5362
ENSG00000076513	ANKRD13A	12	109999186	110039763	protein_coding	88455
ENSG00000076604	TRAF4	17	28744011	28750956	protein_coding	9618
ENSG00000076650	GPATCH1	19	33080899	33130542	protein_coding	55094
ENSG00000076662	ICAM3	19	10333776	10339661	protein_coding	3385
ENSG00000076685	NT5C2	10	103087185	103277605	protein_coding	22978
ENSG00000076770	MBNL3	X	132369320	132489968	protein_coding	55796
ENSG00000076826	CAMSAP3	19	7595863	7618304	protein_coding	57662
ENSG00000076864	RAP1GAP	1	21596221	21669357	protein_coding	5909
ENSG00000076928	ARHGEF1	19	41883173	41930150	protein_coding	9138
ENSG00000077092	RARB	3	24687887	25597932	protein_coding	5915
ENSG00000077147	TM9SF3	10	96518110	96587452	protein_coding	56889
ENSG00000077150	NFKB2	10	102394110	102402524	protein_coding	4791
ENSG00000077232	DNAJC10	2	182716255	182794464	protein_coding	54431
ENSG00000077254	USP33	1	77695987	77759852	protein_coding	23032
ENSG00000077274	CAPN6	X	111245099	111270483	protein_coding	827
ENSG00000077312	SNRPA	19	40750637	40765389	protein_coding	6626
ENSG00000077458	FAM76B	11	95768953	95790409	protein_coding	143684
ENSG00000077514	POLD3	11	74493851	74669117	protein_coding	10714
ENSG00000077549	CAPZB	1	19338775	19485539	protein_coding	832
ENSG00000077585	GPR137B	1	236142505	236221865	protein_coding	7107
ENSG00000077782	FGFR1	8	38400215	38468834	protein_coding	2260
ENSG00000078018	MAP2	2	209424047	209734147	protein_coding	4133
ENSG00000078081	LAMP3	3	183122215	183163839	protein_coding	27074
ENSG00000078304	PPP2R5C	14	101761709	101927989	protein_coding	5527
ENSG00000078369	GNB1	1	1785285	1892292	protein_coding	2782
ENSG00000078401	EDN1	6	12290361	12297194	protein_coding	1906
ENSG00000078589	P2RY10	X	78945332	78963727	protein_coding	27334
ENSG00000078668	VDAC3	8	42391624	42405937	protein_coding	7419
ENSG00000079246	XRCC5	2	216107464	216206303	protein_coding	7520
ENSG00000079277	MKNK1	1	46557407	46616843	protein_coding	8569
ENSG00000079308	TNS1	2	217799588	218033982	protein_coding	7145
ENSG00000079332	SAR1A	10	70147289	70170523	protein_coding	56681
ENSG00000079335	CDC14A	1	100345001	100520277	protein_coding	8556
ENSG00000079385	CEACAM1	19	42507304	42561234	protein_coding	634
ENSG00000079459	FDFT1	8	11795573	11839395	protein_coding	2222
ENSG00000079462	PAFAH1B3	19	42297033	42303546	protein_coding	5050
ENSG00000079482	OPHN1	X	67949349	68433913	protein_coding	4983
ENSG00000079616	KIF22	16	29790727	29805385	protein_coding	3835
ENSG00000079739	PGM1	1	63593411	63660245	protein_coding	5236
ENSG00000079819	EPB41L2	6	130839347	131063322	protein_coding	2037
ENSG00000079931	MOXD1	6	132296055	132401475	protein_coding	26002
ENSG00000079950	STX7	6	132445867	132513198	protein_coding	8417
ENSG00000079974	RABL2B	22	50767501	50783667	protein_coding	11159
ENSG00000080371	RAB21	12	71754863	71800286	protein_coding	23011
ENSG00000080503	SMARCA2	9	1980290	2193624	protein_coding	6595
ENSG00000080546	SESN1	6	108984309	109094846	protein_coding	27244
ENSG00000080802	CNOT4	7	135361795	135510145	protein_coding	4850
